Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall,Pressure
18/12/2021,,,0,
19/12/2021,,,0.4,
20/12/2021,,,37.2,
21/12/2021,,,0,
22/12/2021,,,0,
23/12/2021,,,0,
24/12/2021,,,0,
25/12/2021,,,0,
26/12/2021,,,0,
27/12/2021,,,0,
28/12/2021,,,0,
29/12/2021,,,0,
30/12/2021,,,0,
31/12/2021,,,0,
1/01/2022,18.8,39,0,1009.9
2/01/2022,21,39.4,0,1005.9
3/01/2022,18,36.2,0,1008.6
4/01/2022,13.1,34.7,0,1009.6
5/01/2022,17.4,27.5,0,1007.4
6/01/2022,18.9,25.1,2,1008.3
7/01/2022,17.3,33.5,2.2,1008.2
8/01/2022,19.8,32.1,0,1010.3
9/01/2022,14.6,34.7,0,1013.9
10/01/2022,19,37.8,0,1015.6
11/01/2022,21,31.6,0,1017.4
12/01/2022,18.9,34.3,6.6,1018.5
13/01/2022,21,35.4,0,1015.5
14/01/2022,19.6,34.4,1.4,1005.7
15/01/2022,17.2,34.2,0,1002.8
16/01/2022,14.4,37.1,0,1007.8
17/01/2022,22.4,25.1,0,1009.4
18/01/2022,15.3,31.8,0.6,1012.6
19/01/2022,16.2,33.2,0,1016.8
20/01/2022,14.9,31.9,0,1026.4
21/01/2022,16.7,32.2,0,1026.7
22/01/2022,18.1,32.8,0,1022.7
23/01/2022,18.2,33.4,0,1016.4
24/01/2022,20.9,34.4,0,1011.4
25/01/2022,21.5,36.1,0,1008
26/01/2022,20.4,35.7,0,1009.4
27/01/2022,21.7,34.8,6.2,1009.7
28/01/2022,22,35.7,17.4,1010.5
29/01/2022,22.8,31.6,5.4,1013.4
30/01/2022,20.2,33.7,0.2,1012.7
31/01/2022,19.6,35.1,0.4,1008.5
1/02/2022,23.4,35.5,0,1001.1
2/02/2022,12,25.6,0,1009.1
3/02/2022,10.5,25.2,0,1013.7
4/02/2022,10.9,28.2,0,1018.3
5/02/2022,14.7,30,0,1020.6
6/02/2022,14.4,30.7,0,1023.6
7/02/2022,14.5,30.7,0,1023.5
8/02/2022,16,31.2,0,1016.2
9/02/2022,19.1,33.3,0,1008.7
10/02/2022,16.7,31.3,0,1012.2
11/02/2022,12.4,29.4,0,1017.3
12/02/2022,15.2,32.5,0,1017.8
13/02/2022,19.6,34.8,0,1018.2
14/02/2022,19.4,37.9,0,1020.7
15/02/2022,18.4,38.8,0,1021.1
16/02/2022,19.3,38.2,0,1014.6
17/02/2022,19,30.1,0,1010.6
18/02/2022,13.3,27.4,0.2,1014.8
19/02/2022,11.9,32.2,0,1017.6
20/02/2022,13.6,33.5,0,1008.7
21/02/2022,12.9,27.6,0,1011
22/02/2022,10.6,32.7,0,1015.2
23/02/2022,16.5,33.8,0,1016.9
24/02/2022,23.2,32.1,0,1016.3
25/02/2022,19.9,32.7,0,1015.2
26/02/2022,19,31.9,0,1015.2
27/02/2022,18.1,32.6,0,1013.7
28/02/2022,19.6,32.4,0.4,1011.7
1/03/2022,19.2,24.3,6.2,1010.6
2/03/2022,17.1,29.3,14.2,1010.9
3/03/2022,17.1,32.7,0,1012.4
4/03/2022,17.8,32,0,1012.4
5/03/2022,16.3,26,3.8,1006.5
6/03/2022,16.4,29,0,1011.3
7/03/2022,16.3,31.8,0,1012.6
8/03/2022,17.8,28.2,0,1011.6
9/03/2022,13,27.2,0,1015.8
10/03/2022,10.8,25.2,0,1019.1
11/03/2022,10.3,26.6,0,1019.1
12/03/2022,13,30.8,0,1020
13/03/2022,17.6,29.9,0,1020.9
14/03/2022,15.3,30.7,0,1019.7
15/03/2022,18.5,25.9,0,1019.5
16/03/2022,16.3,24.5,5.4,1017.9
17/03/2022,16.8,29,0.2,1015.3
18/03/2022,16.2,31,0,1017.9
19/03/2022,14.2,32.3,0,1018
20/03/2022,17.1,33.1,0,1016.6
21/03/2022,15.5,34.3,0,1014.5
22/03/2022,16.5,36.5,0,1009.8
23/03/2022,12,24.9,0,1014
24/03/2022,10.6,26.4,0,1015.8
25/03/2022,8.8,27.7,0,1019.5
26/03/2022,11.4,29.3,0,1021
27/03/2022,13.5,29.5,0,1019.1
28/03/2022,14.6,30.5,0,1015.2
29/03/2022,12.3,30.2,0,1014.3
30/03/2022,12,26.1,0,1013.7
31/03/2022,12.5,27.3,0,1018.3
1/04/2022,10.5,23.5,0,1023.8
2/04/2022,11.8,22.5,0,1020.4
3/04/2022,14,20.7,0,1016.1
4/04/2022,11.1,23.4,0,1015.3
5/04/2022,8.5,27.1,0,1017.1
6/04/2022,12.3,23.1,0,1018.2
7/04/2022,12.6,22.3,0,1021.2
8/04/2022,14.5,18.8,6.6,1022.9
9/04/2022,15.3,23.9,6,1021.3
10/04/2022,13.6,26.5,11.8,1019.8
11/04/2022,15.3,24.4,0.2,1019
12/04/2022,7.7,21.3,0,1023
13/04/2022,5.8,23.3,0,1023.6
14/04/2022,9.3,25.5,0,1025.7
15/04/2022,12.8,26.5,0,1023
16/04/2022,10.1,27,0,1021.5
17/04/2022,11.9,29.4,0,1016.9
18/04/2022,17.8,19.9,0,1015.8
19/04/2022,14.8,17.2,29.2,1013.2
20/04/2022,9,18.7,4.8,1019.9
21/04/2022,8.7,18.4,0.8,1025.7
22/04/2022,6.8,21,0,1029
23/04/2022,10.4,22.6,0,1030.7
24/04/2022,10.3,23,0,1032
25/04/2022,11.5,23.4,0,1027.4
26/04/2022,11.1,21.2,0,1021.3
27/04/2022,14.1,17,1.4,1016.1
28/04/2022,14.6,20,5.6,1016.5
29/04/2022,11.1,22.5,0,1019.9
30/04/2022,11.9,17.6,4.8,1020.5
